cliente_id,frecuencia_compra,monto_total_gastado,monto_promedio_compra,dias_desde_ultima_compra,antiguedad_cliente_meses,canal_principal,numero_productos_distintos,fecha_reseña,producto_categoria,reseña_id,texto_reseña
24,13.0,4460.15,820.69,64.0,108.0,móvil,19.0,2024-12-03,servicios,24,La experiencia general fue correcta pero hubo pequeños retrasos durante el proceso
25,42.0,2668.77,1355.77,37.0,111.0,marketplace,7.0,2024-01-13,servicios,25,El servicio fue adecuado con tiempos razonables aunque la atención podría ser más clara
26,71.0,19895.25,1050.5,116.0,,marketplace,11.0,2023-06-03,educacion,26,El contenido educativo es comprensible y bien estructurado aunq el ritmo es algo rápido
27,43.0,8271.54,1004.76,324.0,105.0,móvil,9.0,2024-10-11,salud,27,Las instalaciones están limpias y el personal explica los procedimientos de forma básica ..
28,97.0,19856.9,Error,17.0,155.0,marketplace,39.0,2024-01-12,electronica,28,La interfaz es intuitiva y el dispositivo responde bien en tareas comunes y prolongadas
29,28.0,1588.82,1097.23,134.0,189.0,móvil,42.0,2024-12-22,servicios,29,El servicio fue adecuado con tiempos razonables aunque la atención podría ser más clara
30,97.0,18985.79,1071.1,52.0,76.0,marketplace,9.0,2023-07-23,salud,30,La  atención en salud fue profesional aunque el tiempo de espera resultó un poco largo
31,73.0,5250.44,800.5,65.0,118.0,marketplace,46.0,2025-12-07,salud,31,La atención en salud fue profesional aunque el tiempo de espera resultó un poco largo
32,30.0,16704.74,486.95,49.0,188.0,tienda física,46.0,2025-02-09,salud,32,Las instalaciones están limpias y el personal explica los procedimientos de forma básica
33,42.0,12801.28,535.85,283.0,116.0,marketplace,30.0,2024-01-24,hogar,33,Cumple su función en casa y ayuda a mantener el espacio organizado sin complicaciones
34,,15675.88,1038.18,337.0,,móvil,31.0,2023-01-16,alimentos,34,El producto alimenticio viene bien empacado y cumple con lo básico para el consumo diario
35,77.0,9926.66,445.29,276.0,238.0,móvil,34.0,2024-09-26,electronica,35,Este producto electrónico ofrece un rendimiento estable aunque la batería podría mejorar con el uso diario
36,93.0,16337.29,395.56,346.0,4.0,móvil,13.0,2025-12-05,electronica,36,Este producto electrónico ofrece un rendimiento estable aunque la batería podría mejorar con el uso diario
37,58.0,2400.42,952.95,107.0,196.0,tienda física,47.0,2025-06-30,salud,37,Las instalaciones están limpias y el personal explica los procedimientos de forma básica
38,48.0,12662.3,932.62,248.0,62.0,tienda física,1.0,2025-03-20,ropa,38,El diseño es atractivo y el color coincide con lo esperado después de varios usos
39,62.0,14160.19,886.19,345.0,29.0,call center,24.0,2025-04-25,hogar,39,Cumple su función en casa y ayuda a mantener el espacio organizado sin complicaciones
40,91.0,16371.69,nanabc,294.0,52.0,marketplace,23.0,2024-01-14,salud,40,La atención en salud fue profesional aunque el tiempo de espera resultó un poco largo ..
41,69.0,17659.86,179.39,44.0,87.0,web,13.0,2025-06-23,electronica,41,Este producto electrónico ofrece un rendimiento estable aunque la batería podría mejorar con el uso diario
42,19.0,10682.67,64.42,166.0,218.0,call center,34.0,2023-04-29,salud,42,Las instalaciones están limpias y el personal explica los procedimientos de forma básica
43,37.0,8887.29,470.77,320.0,126.0,marketplace,14.0,2023-11-26,electronica,43,Este producto electrónico ofrece un rendimiento estable aunque la batería podría mejorar con el uso diario
44,67.0,13513.03,233.2,247.0,183.0,marketplace,29.0,2024-04-10,alimentos,44,El producto alimenticio viene bien empacado y cumple con lo básico para el consumo diario
45,98.0,9030.94,565.04,108.0,113.0,web,35.0,2023-04-18,alimentos,45,El sabor es aceptable y la textura resulta agradable aunque esperaba mayor frescura
46,35.0,8526.91,73.17,358.0,115.0,web,23.0,2024-09-02,alimentos,46,El producto alimenticio viene muuy empacado y cumple con lo básico para el consumo diario
47,57.0,7364.94,867.52,312.0,98.0,call center,32.0,2025-09-08,hogar,47,Cumple su función en casa y ayuda a mantener el espacio organizado sin complicaciones
48,11.0,nanabc,1246.22,331.0,29.0,call center,7.0,2023-04-13,hogar,48,Cumple su función en casa y ayuda a mantener el espacio organizado sin complicaciones
49,6.0,328.82,1382.29,33.0,106.0,web,35.0,2025-03-17,electronica,49,La interfaz es intuitiva y el dispositivo responde bien en tareas comunes y prolongadas
50,74.0,8335.03,762.26,133.0,100.0,call center,43.0,2024-02-06,electronica,50,La interfaz es intuitiva y el dispositivo responde bien en tareas comunes y prolongadas
51,31.0,16459.67,1271.78,159.0,240.0,marketplace,30.0,2025-03-27,alimentos,51,El sabor es aceptable y la textura resulta agradable aunque esperaba mayor frescura
52,51.0,16933.2,403.96,35.0,192.0,call center,16.0,2023-06-27,hogar,52,El artículo para el hogar es funcional y fácil de usar aunque los materiales se sienten normales
53,76.0,18268.75,1031.22,19.0,70.0,web,32.0,2024-02-06,electronica,53,La interfaz es intuitiva y el dispositivo responde bien en tareas comunes y prolongadas
54,53.0,14435.89,2.97,239.0,218.0,móvil,40.0,2023-06-25,alimentos,54,El producto alimenticio viene muuy empacado y cumple con lo básico para el consumo diario
55,51.0,11562.57,725.25,188.0,129.0,tienda física,33.0,2025-02-06,ropa,55,La prenda es cómoda y la tela se siente agradable aunque la talla puede variar un poco
56,81.0,16423.92,866.24,344.0,97.0,móvil,46.0,2025-04-28,hogar,56,Cumple su función en casa y ayuda a mantener el espacio organizado sin complicaciones
57,22.0,11204.4,236.47,296.0,228.0,marketplace,27.0,2024-01-13,alimentos,57,El producto alimenticio viene bien empacado y cumple con lo básico para el consumo diario
58,62.0,1399.66,758.55,89.0,22.0,web,37.0,2025-05-24,salud,58,Las instalaciones están limpias yyy el personal explica los procedimientos de forma básica
59,33.0,5855.25,1308.49,75.0,208.0,call center,2.0,2025-09-18,educacion,59,El contenido educativo es comprensible y bien estructurado aunque el ritmo es algo rápido
60,44.0,8343.2,85.5,6.0,78.0,tienda física,39.0,2025-10-10,educacion,60,El contenido educativo es comprensible y bien estructurado aunque el ritmo es algo rápido
61,45.0,19363.92,1152.63,74.0,118.0,móvil,8.0,2023-03-27,alimentos,61,El sabor es aceptable y la textura resulta agradable aunque esperaba mayor frescura
62,34.0,17993.29,1264.85,317.0,104.0,call center,30.0,2024-03-13,electronica,62,La interfaz es intuitiva yyy el dispositivo responde bien en tareas comunes yyy prolongadas
63,36.0,1936.25,806.69,330.0,,marketplace,8.0,2024-04-13,electronica,63,Este producto electrónico ofrece un rendimiento estable aunque la batería podría mejorar con el uso diario ..
64,81.0,18362.35,376.07,251.0,151.0,tienda física,31.0,2024-09-13,alimentos,64,El sabor es aceptable yyy la textura resulta agradable aunque esperaba mayor frescura
65,9.0,18685.04,1233.41,38.0,41.0,call center,39.0,2024-03-25,educacion,65,El contenido educativo es comprensible y bien estructurado aunq el ritmo es algo rápido
66,39.0,10388.75,1170.63,174.0,215.0,call center,49.0,2024-02-16,educacion,66,La metodología utilizada facilita el aprendizaje pero requiere mayor acompañamiento con una experiencia de uso razonablemente consistente
67,2.0,10056.76,240.16,240.0,136.0,móvil,26.0,2025-07-26,educacion,67,La metodología utilizada facilita el aprendizaje pero requiere mayor acompañamiento con una experiencia de uso razonablemente consistente
68,nanabc,10460.7,153.03,135.0,20.0,marketplace,22.0,2023-10-02,servicios,68,La experiencia general fue correcta pero hubo pequeños retrasos durante el proceso
69,43.0,16987.49,1023.34,153.0,219.0,marketplace,24.0,2025-02-17,servicios,69,La experiencia general fue correcta pero hubo pequeños retrasos durante el proceso
70,6.0,962.98,322.78,319.0,166.0,call center,26.0,2024-07-28,electronica,70,La interfaz es intuitiva y el dispositivo responde bien en tareas comunes y prolongadas
71,83.0,11243.79,1463.84,81.0,,móvil,10.0,2024-01-30,educacion,71,La metodología utilizada facilita el aprendizaje pero requiere mayor acompañamiento con una experiencia de uso razonablemente consistente
72,0.0,7460.86,899.71,197.0,150.0,call center,31.0,2023-10-12,educacion,72,El contenido educativo es comprensible y muuy estructurado aunque el ritmo es algo rápido
73,91.0,12273.95,792.27,153.0,176.0,web,26.0,2024-11-06,educacion,73,La metodología utilizada facilita el aprendizaje pero requiere mayor acompañamiento con una experiencia de uso razonablemente consistente
74,59.0,1076.76,555.26,86.0,100.0,tienda física,26.0,2025-01-11,alimentos,74,El sabor es aceptable y la textura resulta agradable aunque esperaba mayor frescura ..
75,8.0,15705.05,43.32,229.0,208.0,call center,11.0,2025-02-22,electronica,75,Este producto electrónico ofrece un rendimiento estable aunque la batería podría mejorar con el uso diario
76,49.0,15772.54,16.62,124.0,8.0,tienda física,8.0,2023-11-16,ropa,76,La prenda es cómoda y la tela se siente agradable aunque la talla puede variar un poco
77,56.0,18672.36,Error,80.0,238.0,web,32.0,2025-08-12,electronica,77,La interfaz es intuitiva y el dispositivo responde bien en tareas comunes y prolongadas
78,62.0,4122.58,143.76,20.0,190.0,móvil,48.0,2023-06-19,alimentos,78,El sabor es aceptable y la textura resulta agradable aunque esperaba mayor frescura
79,46.0,,1466.69,109.0,189.0,web,43.0,2025-02-18,servicios,79,El servicio fue adecuado con tiempos razonables aunq la atención podría ser más clara
80,43.0,12127.98,1307.95,299.0,215.0,móvil,9.0,2023-11-06,salud,80,La atención en salud fue profesional aunque el tiempo de espera resultó un poco largo
81,21.0,5638.87,412.8,146.0,184.0,web,25.0,2024-12-03,electronica,81,La interfaz es intuitiva y el dispositivo responde bien en tareas comunes y prolongadas ..
82,91.0,7141.4,817.64,44.0,76.0,call center,25.0,2024-09-27,educacion,82,El contenido educativo es comprensible y bien estructurado aunque el ritmo es algo rápido
83,95.0,19019.2,750.75,27.0,105.0,tienda física,30.0,2023-03-13,ropa,83,La prenda es cómoda y la tela se siente agradable aunq la talla puede variar un poco
84,25.0,864.07,665.53,19.0,8.0,web,4.0,2024-11-24,hogar,84,Cumple su función en casa y ayuda a mantener el espacio organizado sin complicaciones
85,18.0,3.54,1353.24,351.0,204.0,tienda física,49.0,2024-10-14,educacion,85,El contenido educativo es comprensible y bien estructurado aunque el ritmo es algo rápido ..
86,4.0,16493.49,959.6,99.0,38.0,call center,50.0,2023-07-12,salud,86,Las instalaciones están limpias y el personal explica los procedimientos de forma básica
87,87.0,17351.64,1067.68,168.0,187.0,móvil,2.0,2024-04-29,hogar,87,Cumple su función en casa y ayuda a mantener el espacio organizado sin complicaciones
88,39.0,10861.28,1363.26,9.0,5.0,web,38.0,2023-10-28,electronica,88,Este producto electrónico ofrece un rendimiento estable aunque la batería podría mejorar con el uso diario
89,28.0,8543.8,1169.19,261.0,84.0,móvil,43.0,2025-01-02,servicios,89,La experiencia general fue correcta pero hubo pequeños retrasos durante el proceso
90,65.0,,1461.84,100.0,21.0,call center,35.0,2025-05-31,ropa,90,El  diseño es atractivo y el color coincide con lo esperado después de varios usos
91,36.0,2579.1,1152.9,197.0,124.0,call center,46.0,2023-11-28,alimentos,91,El  sabor es aceptable y la textura resulta agradable aunque esperaba mayor frescura
92,54.0,2368.61,718.98,183.0,16.0,tienda física,47.0,2025-09-15,electronica,92,Este producto electrónico ofrece un rendimiento estable aunque la batería podría mejorar con el uso diario
93,9.0,19733.23,987.2,287.0,236.0,móvil,24.0,2024-11-02,alimentos,93,El producto alimenticio viene bien empacado y cumple con lo básico para el consumo diario
94,65.0,3948.61,327.23,142.0,125.0,móvil,12.0,2024-03-02,servicios,94,La experiencia general fue correcta pero hubo pequeños retrasos durante el proceso
95,21.0,15062.96,981.88,270.0,213.0,marketplace,17.0,2025-08-05,educacion,95,La metodología utilizada facilita el aprendizaje pero requiere mayor acompañamiento con una experiencia de uso razonablemente consistente
96,54.0,17467.27,1075.38,68.0,172.0,call center,38.0,2024-05-11,ropa,96,El diseño es atractivo y el color coincide con lo esperado después de varios usos
97,2.0,10921.29,359.35,230.0,24.0,web,20.0,2024-09-14,ropa,97,La prenda es cómoda y la tela se siente agradable aunque la talla puede variar un poco
98,97.0,3849.26,1297.75,263.0,110.0,móvil,44.0,2025-07-12,alimentos,98,El producto alimenticio viene bien empacado y cumple con lo básico para el consumo diario
99,16.0,18606.88,278.87,8.0,131.0,marketplace,12.0,2025-02-11,ropa,99,La prenda es cómoda yyy la tela se siente agradable aunque la talla puede variar un poco
100,23.0,6069.65,347.64,337.0,84.0,call center,14.0,2024-09-05,educacion,100,El contenido educativo es comprensible y bien estructurado aunq el ritmo es algo rápido
101,24.0,15728.23,892.24,333.0,128.0,marketplace,30.0,2023-08-11,alimentos,101,El sabor es aceptable yyy la textura resulta agradable aunque esperaba mayor frescura
102,90.0,9834.06,1486.94,148.0,141.0,tienda física,2.0,2023-04-06,ropa,102,La prenda es cómoda y la tela se siente agradable aunque la talla puede variar un poco
103,77.0,966.09,223.87,117.0,230.0,tienda física,46.0,2023-10-07,servicios,103,El servicio fue adecuado con tiempos razonables aunque la atención podría ser más clara
104,6.0,5012.34,898.76,357.0,140.0,web,30.0,2025-03-01,servicios,104,El servicio fue adecuado con tiempos razonables aunque la atención podría ser más clara
105,54.0,14960.29,102.25,323.0,232.0,marketplace,31.0,2024-10-25,alimentos,105,El  sabor es aceptable y la textura resulta agradable aunque esperaba mayor frescura
106,88.0,15536.78,343.14,219.0,39.0,marketplace,10.0,,servicios,106,El servicio fue adecuado con tiempos razonables aunque la atención podría ser más clara
107,1.0,16214.67,Error,260.0,56.0,móvil,43.0,2025-07-29,servicios,107,El servicio fue adecuado con tiempos razonables aunque la atención podría ser más clara
108,64.0,7336.5,224.6,27.0,149.0,tienda física,45.0,2024-07-21,salud,108,La atención en salud fue profesional aunque el tiempo de espera resultó un poco largo
109,84.0,10307.8,1149.07,1.0,153.0,tienda física,15.0,2025-11-29,ropa,109,El diseño es atractivo y el color coincide con lo esperado después de varios usos
110,43.0,8108.29,1228.54,197.0,209.0,tienda física,17.0,2025-01-05,hogar,110,Cumple su función en casa yyy ayuda a mantener el espacio organizado sin complicaciones
111,39.0,15454.49,111.56,48.0,157.0,móvil,31.0,2023-01-08,ropa,111,El diseño es atractivo y el color coincide con lo esperado después de varios usos
112,7.0,8344.91,813.17,358.0,59.0,call center,34.0,2025-06-28,salud,112,Las instalaciones están limpias y el personal explica los procedimientos de forma básica
113,69.0,nanabc,1358.11,249.0,178.0,web,32.0,2024-01-01,hogar,113,El  artículo para el hogar es funcional y fácil de usar aunque los materiales se sienten normales
114,7.0,14336.49,557.72,115.0,64.0,móvil,9.0,2024-07-02,servicios,114,La experiencia general fue correcta pero hubo pequeños retrasos durante el proceso
115,6.0,9741.4,666.94,97.0,180.0,web,46.0,2025-10-23,servicios,115,La experiencia general fue correcta pero hubo pequeños retrasos durante el proceso
116,94.0,8138.8,861.74,,171.0,call center,37.0,2025-07-04,alimentos,116,El producto alimenticio viene bien empacado y cumple con lo básico para el consumo diario
117,10.0,9285.85,821.94,231.0,137.0,tienda física,49.0,2025-02-11,electronica,117,Este producto electrónico ofrece un rendimiento estable aunque la batería podría mejorar con el uso diario
118,72.0,1981.71,,256.0,36.0,tienda física,27.0,2025-05-31,servicios,118,El servicio fue adecuado con tiempos razonables aunque la atención podría ser más clara
119,6.0,8774.28,69.96,133.0,134.0,marketplace,21.0,2023-01-26,salud,119,La atención en salud fue profesional aunque el tiempo de espera resultó un poco largo
120,63.0,5805.01,1003.81,151.0,118.0,móvil,1.0,2023-01-01,servicios,120,La experiencia general fue correcta pero hubo pequeños retrasos durante el proceso
121,69.0,11452.94,298.37,71.0,122.0,marketplace,9.0,2024-06-21,hogar,121,El artículo para el hogar es funcional y fácil de usar aunque los materiales se sienten normales
122,89.0,2520.22,477.0,79.0,84.0,marketplace,39.0,2023-11-14,educacion,122,El contenido educativo es comprensible yyy bien estructurado aunque el ritmo es algo rápido
123,98.0,13409.12,642.66,27.0,227.0,web,3.0,2024-06-07,servicios,123,La experiencia general fue correcta pero hubo pequeños retrasos durante el proceso
124,65.0,677.33,61.62,304.0,176.0,marketplace,,2023-10-25,alimentos,124,El sabor es aceptable y la textura resulta agradable aunque esperaba mayor frescura
125,8.0,18093.79,444.72,289.0,29.0,móvil,2.0,2024-03-22,ropa,125,La prenda es cómoda y la tela se siente agradable aunque la talla puede variar un poco
126,82.0,15066.26,1086.56,232.0,116.0,marketplace,27.0,2025-10-10,ropa,126,La prenda es cómoda y la tela se siente agradable aunque la talla puede variar un poco
127,80.0,17989.66,838.83,199.0,200.0,tienda física,16.0,2024-01-02,hogar,127,Cumple su función en casa y ayuda a mantener el espacio organizado sin complicaciones
128,10.0,7037.45,965.86,322.0,0.0,móvil,33.0,2023-10-24,alimentos,128,El  producto alimenticio viene bien empacado y cumple con lo básico para el consumo diario
129,67.0,11509.6,470.11,40.0,153.0,web,29.0,2024-12-26,educacion,129,La metodología utilizada facilita el aprendizaje pero requiere mayor acompañamiento con una experiencia de uso razonablemente consistente
130,45.0,782.51,338.98,54.0,220.0,call center,43.0,2024-05-04,hogar,130,Cumple su función en casa y ayuda a mantener el espacio organizado sin complicaciones ..
131,79.0,12584.62,10.0,355.0,216.0,call center,15.0,2023-11-14,salud,131,La atención en salud fue profesional aunque el tiempo de espera resultó un poco largo
132,77.0,96.5,1249.05,354.0,181.0,call center,2.0,2023-10-09,hogar,132,Cumple su función en casa y ayuda a mantener el espacio organizado sin complicaciones
133,88.0,4171.88,449.01,206.0,240.0,call center,47.0,2023-07-05,hogar,133,El artículo para el hogar es funcional y fácil de usar aunq los materiales se sienten normales
134,14.0,2323.8,493.08,126.0,57.0,call center,42.0,2025-09-02,alimentos,134,El sabor es aceptable y la textura resulta agradable aunque esperaba mayor frescura
135,51.0,7747.29,437.94,208.0,89.0,call center,30.0,2024-11-25,salud,135,Las instalaciones están limpias y el personal explica los procedimientos de forma básica
136,75.0,11167.87,1398.14,89.0,173.0,móvil,42.0,2024-06-18,ropa,136,La prenda es cómoda y la tela se siente agradable aunque la talla puede variar un poco
137,71.0,587.42,1437.77,24.0,161.0,tienda física,34.0,2025-10-29,salud,137,La atención en salud fue profesional aunque el tiempo de espera resultó un poco largo
138,92.0,18529.42,998.56,75.0,47.0,web,3.0,2023-05-29,ropa,138,El diseño es atractivo y el color coincide con lo esperado después de varios usos ..
139,63.0,,1446.08,93.0,45.0,call center,28.0,2024-02-12,servicios,139,El servicio fue adecuado con tiempos razonables aunque la atención podría ser más clara
140,50.0,17927.72,1109.02,74.0,170.0,móvil,22.0,2023-09-17,salud,140,La atención en salud fue profesional aunque el tiempo de espera resultó un poco largo
141,54.0,4225.23,1022.01,357.0,111.0,call center,44.0,2024-05-09,servicios,141,La experiencia general fue correcta pero hubo pequeños retrasos durante el proceso
142,20.0,19637.25,365.04,139.0,32.0,call center,17.0,2023-12-14,electronica,142,Este producto electrónico ofrece un rendimiento estable aunque la batería podría mejorar con el uso diario
143,87.0,18697.7,293.06,256.0,130.0,marketplace,41.0,2023-03-31,electronica,143,Este producto electrónico ofrece un rendimiento estable aunque la batería podría mejorar con el uso diario
144,69.0,18015.5,200.9,352.0,208.0,tienda física,3.0,2025-02-10,servicios,144,La experiencia general fue correcta pero hubo pequeños retrasos durante el proceso
145,37.0,1707.2,1124.95,77.0,65.0,marketplace,13.0,2025-08-31,servicios,145,La experiencia general fue correcta pero hubo pequeños retrasos durante el proceso
146,2.0,9221.96,780.58,272.0,169.0,marketplace,22.0,2024-01-20,salud,146,La atención en salud fue profesional aunque el tiempo de espera resultó un poco largo
147,33.0,9199.07,804.34,194.0,119.0,móvil,28.0,2023-07-27,ropa,147,La prenda es cómoda y la tela se siente agradable aunque la talla puede variar un poco
148,86.0,1010.04,483.54,271.0,212.0,tienda física,46.0,2024-03-02,alimentos,148,El  producto alimenticio viene bien empacado y cumple con lo básico para el consumo diario
149,96.0,7944.88,1072.86,102.0,117.0,call center,13.0,2024-04-11,salud,149,La atención en salud fue profesional aunq el tiempo de espera resultó un poco largo
150,12.0,13820.28,712.8,251.0,201.0,tienda física,32.0,2023-12-04,servicios,150,El servicio fue adecuado con tiempos razonables aunque la atención podría ser más clara
151,54.0,813.18,10.51,77.0,131.0,tienda física,24.0,2024-05-27,servicios,151,La experiencia general fue correcta pero hubo pequeños retrasos durante el proceso
152,72.0,4151.79,587.78,217.0,206.0,call center,46.0,2025-04-06,hogar,152,Cumple su función en casa y ayuda a mantener el espacio organizado sin complicaciones
153,21.0,6056.12,597.65,307.0,137.0,tienda física,13.0,2023-10-08,alimentos,153,El producto alimenticio viene muuy empacado y cumple con lo básico para el consumo diario
154,2.0,8601.37,258.56,17.0,110.0,tienda física,47.0,2024-09-30,servicios,154,La experiencia general fue correcta pero hubo pequeños retrasos durante el proceso ..
155,57.0,11235.13,1449.88,254.0,178.0,móvil,4.0,2024-09-13,electronica,155,La interfaz es intuitiva y el dispositivo responde bien en tareas comunes y prolongadas
156,21.0,17876.75,1083.82,149.0,239.0,móvil,25.0,2025-06-11,alimentos,156,El sabor es aceptable y la textura resulta agradable aunque esperaba mayor frescura
157,89.0,10131.3,10.21,78.0,64.0,marketplace,8.0,2025-09-14,hogar,157,Cumple su función en casa y ayuda a mantener el espacio organizado sin complicaciones
158,38.0,3441.53,822.53,205.0,8.0,marketplace,14.0,2023-04-03,hogar,158,Cumple su función en casa y ayuda a mantener el espacio organizado sin complicaciones
159,80.0,11392.32,129.36,327.0,117.0,call center,47.0,2024-07-11,ropa,159,La prenda es cómoda y la tela se siente agradable aunq la talla puede variar un poco
160,47.0,17761.4,215.75,99.0,218.0,marketplace,26.0,2024-02-14,salud,160,La atención en salud fue profesional aunque el tiempo de espera resultó un poco largo
161,1.0,19250.27,559.48,302.0,102.0,móvil,28.0,2024-06-22,servicios,161,El servicio fue adecuado con tiempos razonables aunque la atención podría ser más clara
162,86.0,18975.23,1331.39,27.0,76.0,call center,17.0,2024-10-06,hogar,162,Cumple su función en casa y ayuda a mantener el espacio organizado sin complicaciones
163,69.0,5939.44,1164.01,242.0,165.0,call center,49.0,2024-09-13,electronica,163,La interfaz es intuitiva y el dispositivo responde bien en tareas comunes y prolongadas
164,70.0,10576.75,829.72,53.0,83.0,marketplace,3.0,2024-05-12,salud,164,Las instalaciones están limpias yyy el personal explica los procedimientos de forma básica
165,93.0,9052.12,409.37,75.0,136.0,tienda física,5.0,2025-01-24,educacion,165,La metodología utilizada facilita el aprendizaje pero requiere mayor acompañamiento con una experiencia de uso razonablemente consistente
166,58.0,7344.41,565.73,303.0,55.0,móvil,18.0,2025-08-16,servicios,166,La experiencia general fue correcta pero hubo pequeños retrasos durante el proceso ..
167,16.0,8272.37,777.2,216.0,238.0,móvil,2.0,2024-06-26,servicios,167,La experiencia general fue correcta pero hubo pequeños retrasos durante el proceso
168,99.0,13075.71,,313.0,208.0,web,34.0,2024-03-13,ropa,168,El diseño es atractivo y el color coincide con lo esperado después de varios usos
169,86.0,2143.8,254.2,237.0,12.0,marketplace,44.0,2024-07-29,electronica,169,La interfaz es intuitiva yyy el dispositivo responde bien en tareas comunes yyy prolongadas
170,40.0,2787.45,816.38,331.0,13.0,tienda física,24.0,2023-04-18,educacion,170,La metodología utilizada facilita el aprendizaje pero requiere mayor acompañamiento con una experiencia de uso razonablemente consistente
171,19.0,8114.81,808.61,149.0,188.0,tienda física,9.0,2024-12-15,ropa,171,El diseño es atractivo y el color coincide con lo esperado después de varios usos
172,73.0,12806.17,1245.9,315.0,,tienda física,48.0,2023-09-07,ropa,172,El diseño es atractivo y el color coincide con lo esperado después de varios usos
173,36.0,15566.85,412.44,308.0,69.0,tienda física,50.0,,ropa,173,El  diseño es atractivo y el color coincide con lo esperado después de varios usos
174,54.0,17783.45,191.75,96.0,202.0,tienda física,11.0,2023-12-04,ropa,174,La prenda es cómoda y la tela se siente agradable aunque la talla puede variar un poco
175,39.0,11278.61,849.2,12.0,42.0,tienda física,21.0,2025-12-09,electronica,175,La interfaz es intuitiva y el dispositivo responde bien en tareas comunes y prolongadas ..
176,63.0,7860.85,236.23,264.0,62.0,tienda física,34.0,2025-04-27,alimentos,176,El  producto alimenticio viene bien empacado y cumple con lo básico para el consumo diario
177,18.0,19478.38,779.58,274.0,34.0,marketplace,37.0,2023-07-30,electronica,177,La interfaz es intuitiva y el dispositivo responde bien en tareas comunes y prolongadas
